Date,Site,Sample,TOC,UV254,Temperature,pH,Turbidity,Br,EC,BOD,COD,DO,SS,NH3-N,Biopolymer,HS,BB,LMWN,THMFP,HAAFP
17-Jul,T1,위천6,5.5,0.128539133,28.9,7.5,1.56,0.023,206,2.8,7.8,7,20.6,0.05,179.684,2301.413,441.004,349.279,0.151,0.347
17-Jul,T2,감천2-1,3.2,0.086630997,27.1,7.5,1.95,0.022,225,1,5.3,7.3,16.4,0.02,180.009,1940.068,400,883.961,0.114,0.177
17-Jul,T3,금호강6,4.7,0.023065112,29.6,8.1,1.5,0,758,3.2,10.9,8.9,10.8,0.14,129.382,373.039,256.485,684.147,0.148,0.208
17-Jul,T4,회천2-1,3.1,0.119938583,29.6,7.7,0.99,0.048,309,1.5,7,8.3,4.8,0.005,158.113,1734.61,795.026,620.223,0.104,0.135
17-Jul,T5,황강5,1.4,0.055199895,28.3,8,0.66,0.021,163,0.3,3.8,8,3.2,0.005,480.893,966.216,546.955,889.447,0.043,0.045
17-Jul,T6,밀양강3,3.9,0.086709184,31.5,9.2,1.85,0.044,243,1.6,5.3,11.3,10,0.34,423.338,1133.858,733.891,388.61,0.134,0.172
17-Aug,M1,안동호,2.7,0.116967484,16,7.4,1.61,0.014,271,0.9,3.7,4.5,0.2,0.03,194.282,937.839,632.636,311.018,0.072,0.098
17-Aug,M2,임하호,4.1,0.05089962,20,7.4,0.67,0.008,257,1,4.9,6,2.4,0.03,329.707,1911.357,981.59,424.826,0.127,0.21
17-Aug,M3,예천,3.2,0.095544295,26.9,8,1.7,0.014,236,0.7,4.6,8,3,0.04,125.662,1494.182,808.275,378.243,0.119,0.182
17-Aug,M4,상주,3.1,0.084910887,27.2,7.8,1.7,0.014,202,0.5,4.3,7.9,2,0.03,134.682,1367.377,716.364,442.817,0.109,0.179
17-Aug,M5,낙단보,3.5,0.124551605,27.1,7.6,4.86,0.013,174,0.8,5.5,8,5,0.03,100.279,1829.976,847.838,406.648,0.139,0.204
17-Aug,M6,해평,3.5,0.11657655,27,7.4,11.34,0.014,194,0.8,4.6,8.6,3.8,0.005,96.095,1769.544,864.621,398.745,0.062,0.2
17-Aug,M7,구미,3.4,0.111728967,28.6,8.1,7.34,0.016,187,0.8,5.4,9.6,1.2,0.07,140.493,1625.603,883.078,368.433,0.133,0.17
